txid,from,to,amount
0120883f601be8206f04d8e95758afb2c2e864fb1048622562f2cf5b00cf3871,3Fx4e1bTdaCgmiTCc7Dfj3LzrUr1Rx7mVG,1HkvPw5iNf9ffzJ2Z5LUTGLXG5LLDCqQXQ,5.13679482
0150e23da5194fa499d7036fc9e56fea71427f7eeb075df05b1ffd390b906d96,3ERHVGtYkxjaJ2gPkHfAENa3o75YEjyxmF,1PJZXZabndR9Qg882p5zcowDbm8VgdfzCf,316.9903596
01601922f2dcd788e0d0f4dcfae2b6ca85ba612ea62bfdfb5f3cfe8a922347b6,3HTLVyL9LA9SGxBotmCXZ447vpqsJ79LCN,1E7d2AVRWMEd8guvUukeXmsixM8A1TkhDE,10.34899061
01761d53855d122c0a12e60edcb37db0d446d0d48ca49cd497cf26e7921c9fc2,3KuzwdAWGFRTdmw3Q8QxSgjLcjsquk9JL4,166pNsorHyGbsbMKKn4CEodbuXaFa3Y8KA,9.3917731
01c7cdfe8ff23da7ab14a1a30e84373fe3f0d45f428de3c5cbf72253ca807904,3C82brP79vePuRJPCw611mcqymU9NZZrv2,1MiWBbynejkA7LG7x1x7GZaiCeKCUptJPq,109.0282068
01e93aa37956f01a0568cfb6db371b3f9133c62d8e0966463a27c4663e1ae9cf,32EPrK5EoDdYvBGPGwmoryxSeCj1FjuCSu,15wmjub7WK32R38zFQPCw9q36gtwwDjSfN,6.20372976
020f4a7126f1e9043d130f8fb43ae3dec71f27c63627d817db0f972df61923a9,3D8JceLDEKogg6xVfAGzjuN6btHaFLepb4,1FwXSbaB9uZZE2fU5KyN6ihBpZ1iJbRNXx,19.88880581
02171a7b4d9f1b60c7fd3e4dc85910cf573a18a1587a2d475a3525c54a304ac5,3LPWoapXmUBxiqFho52okzQbKvvHRJieCj,1JRuuSzwbztchRvfktJ7X92PYAo7PW6ifX,5.05277551
0246d5aff14be64827cc3d2fb3e029386060eea4ac3a6569c5f55c3a01333bdd,3NpHJQEJ612pqnPvyLwDJKHTqjyZavWLtS,1NR4RXVuBwdBxjpbh3K4a366VzhJCnDxLb,59.67768449
025f5a220323bec85d452e9a4b6528ed047797bcce1f76fabcfbb52bcd88f70b,34L6YsancWHa7GGujkKpXWG4So9eaR1Aed,121WemtSLVnUw9x56j551eWrFSMYkfwDsi,4.47744906
0296935eca6ec9e81ab6b0eb1ba3790e2722ae0bd58b1fa1ab7d52bca5c0ab25,384UNNdV4ZccRXqdKyRAXFHoFtbYw5VvGL,19d2cVH5War1g2LVdcMdYhfHvwqT3BcftP,26.33993256
02e3f1d6a3f7c7460698006086208258f1a129a69aef98d3a74bc612c8aa1263,3468KveFbprDz5TosPoazTm8NLzD1KAGJK,12VVFPYS7S9sguVq91vHqvHuLWP25911Qu,226.3706217
02e472ecf6d7bf2eea378b1e507176df9d71e884823e6dc8295386be407408e1,3NqvzTamMxL6j3p4qLtmLxUjkbgUUQyqbq,1JetieoeNUFUgZWaRzvVKnaE8MWrombrzr,12.99035961
0310d0ceb8fd5f5a621d1da33b0186bc6bc44268a5448a746bed746db5114a72,32cBrE4xwoW3eQgCZXtjCF8gs5rd5QQfPd,1LwHtiY2SDHQoBshUJ8izcXPdR56nReTyw,39.9903377
0332ee90999c56aed77c17964718540b164d1fd19bb9dec7a1a762baf2a841b9,37EwsBMB81wDyYN1TdvptMQ97ES4nCemYc,1Dfzu2HQ2Lgkx8nR2oNbNszEbZLJLH6TLa,56.97807498
034216280e1fb59c50faa462d6d8fa73e32faae84e61f791d9d23d861feb0110,3Fv7ZkTXipHucCSyQaN9W8GQnWTuWHxQHr,1oSLWDVB8K4FovFidzDs2Ejw7p9escFsn,45.05092405
03438d13f209d06782b0e22074355734028e603a2f2ccf207c9188ba70d3d657,3PtWu7ck8zAzYNVDdh1B166zf6djuWg3Fu,1CLMvKuPrdet13kxBCdPdomX4wybKAB7gp,42.56152107
03539846a5df860891cce4b414e6b1ae9b3e728350bc42cf43c35ef668fe9b80,39AveToBohE8KV3oxNkUBvyvpug5djhSvV,1U2WZsEWMYproaiUaRsevezh6pbR2bKVb,18.35161901
035ec7136907c0a0d3ae0351d708345813f2767eb30a01ac6281c9ace97dba9d,3JnFaBbVKkaa5BW5vibpck5dUpLZTaw8PV,13y98SsufXgLGUovtQ7oipzP7sqNngjWNV,4.65248236
037107a77b76ad45248749c5e0593f1bb9e443372c240397f1f452dc6e654265,3Fi4H2PpDZ8UAtjcRmJY5bKkMwhnfQBH1h,1FcPMKxEWiqA7DxmZW5hqbZGNGpByNvkJn,219.1855121
039ef9ebc4b4d252b84395a649d70a61bbf62dfd829336dc9244c9448035d642,3P9zPiHSYB3yM7HyQC5QHGCZpNwhGTyFKj,1EbL5mfs9TcVVr8Ycw1W8i36id2aZF57wS,307.4850939
04016305864baed3853c84286848ef535f70d4c1223da5ba87a4960ff55f2625,3Fv1fANtz72hM3hGkaibc3PaQZN3fEFTcW,1HYojmRcYLGFLP9iVApSreFv7T87RN4wNB,68.54248028
0407b8619b27f8ae51509370a2554e319f577f302499c2e856b3316ab686c230,3MAXJAJLtdZ57xvPpufmwNUC7vFm2c8C4e,16v9Pt4JQcDCsptKkfRC4FFzZLrB2rSFaY,8.88482509
0425a49d3b9e11fe04cf5cf04d8c51a435d6dd87a564f332bcb2b52408904fa8,3QWz2UdAFeBdUYUT8mm178DsWXFEHLZMAr,1LeQYBaJcedndKkb1d9jpAbYu84ng6ZNwa,5.97861299
0455b1910f9cc0cf1d6e1616b896f902ac13982de14bc13a0b10a2eda3e2715b,3KsMZ3LToeUXEHyfnU8s1dU1JugLG7B8UB,18rLd3WxuE8QzhmiK62ZbXorrYXrXhn7dM,202.3248009
0486cb3850e77c3e20ecda8fa9c50c4bc9fde2968c5dd48855cd15310e7c2cd4,38NkFyYqYqt7RVyztsyBcpLou6SHXh453G,1M8qRtqkRuSiJ9ZZzvweCMbM7NsMCVmN2u,39.99691088
0489b855df6bd28f8d813c2da9e2953f5342cf8eb61d2e2d1b84a357e3c822a3,35sp3Vy88w3fSUpwTbrTEXc1UVALKRV2dL,1FJp2nX99FwZVkAh3tY9Fxv6kCWH4h4NDM,23.63045828
049dc4b16dceb0a92026863fa542af0a03ee9326912e00654925d4af051f99d0,3AqNyJ2ukbh2KW1X87mVnftDnM5w4gyp4g,1JkvLGQ4dEk26b56gXD6o1ifPnLDePeRcQ,16.01352111
04ae52943d98746c4e0777ef9df4e01baec9a644b939c3a965c3859778ca0519,32gTiCHgemkLoAqSqKgXQyMuXM9Hdy1jgw,1vcAF6rqdgJEkjwNw2WzhyEAQizcmRF6C,67.30284301
04c977d554e9db53e93ba7cca073ec0a0261bac5e0261ecbc2f156252cea4633,3Gfqeq3MVqB67PmGxQ51sRbLaakF1Sy6bv,1MfYBA3B2J3fdExngfqKxtj6HWwszC2fUX,7.11974775
04e4ef23b8352fbc946a55d67df9651ea57e0cbd6809e579b188e07d08ce75a9,373PwwNJxifBw9cZiXJRnqT3eoPckWNVYU,13G4Zz3p8PNYQVZ8ovjbNfogNY2bWDTPgc,50.94445482
0518723932dd74f149bedb0a7ad6d179f4de72c865cd2dff60e464ca3916ea52,3DCsSKwkeQU8mrceVZgCKhfQgNNFzWF5mg,14oZRvnGJwrsvMtJMJSBFuqEJnXYMkXxxC,14.50713408
053379ab593e05c0fd8ad2668f2b184c12628680df2105b76032f00063d57a56,37tZ9nw31A37Q2fkYsMyAKNYYG6nSB44wP,1F61jB2fkdmChVUkBFqgs4Pmn1bNyps6Xo,5.00868845
05384f4000a8914e339adbf9e95c1f8870c8c71c7b7504e8df521fb952e126de,3FYBrWWFZ2oVxsQtKCW3axDHgL2j6GPQZA,1HttqWBVgTBqASaMErtj72toF4QWVyxVXX,25.53086452
055bf18131cefc7cd0923996ff68a8a4e936f9267ffb58da3348690eb1c2c240,3MeYmiDzyRTiBUUYjnGZzvdWmoiwPTfeqc,1Ek8bEiPLEZPorTNUZWQCUU7z3e9p99v7k,147.8624277
056aa43356f0e260a60d9792fb64d5a98ee596e660f243a739ce9a08914fc1c6,32QLxGosPYmLPg1ufngwCeaRdkqz9de6ua,1ASBiunFq2qVjTLgZjj6g6X2MPEefpAEmk,7.73809364
06138d5b21986534f13ea222b31804fef518eb66695775bbdf4588158fe82fa4,3BodsqsUbao5MTXKxW9iTpbVHNMhYdZRK8,1PhtyiFJdnJPGNcy59XAaK55zseeJTe4o1,58.51790453
062bd5e1e748be662145e035ec1b4e1547bc706a0b04bf69d5fac52cf3ad3221,31ouifbVjUrwwq5nwVoHih9ttvFnCSjXtU,1LCkMksAGoL2ZiyGpfctoMhtxRoSuk3HA8,24.99061901
063481d4abb3aa24fd64d8c84feedec4a8201beb072ec308b2da70292b4312e5,3N2HussFHKgxRjzV5AMfeR5TaZqi41TaUJ,1LBs7Ni9314yH8YPd6y3dBV5JZDChZRUzM,416.3314789
064d27f0159c0c754a33595dfc46314738f023b653d6c0edd084f53070a7a6ab,36fPjnCb1DnqMUUXs2xv1Kj9HSS13a7tbo,1GM7wj5Ubme7vc9JjzBh3di33Fq9SWNiqh,11.38995054
0656af6b9a65b4eac2e49e7c0dd7fd98295ad309cbe3f946f0cd8d468f0af3a2,32jUYpN3wvpgK9NX75ubABcnmGErkndpvs,1JZRj3PMDdzxwdLmGTuDp8no966Sv41fFt,10.40701406
0667650cdcef3f3d6e727989bd53214beed46f9e303a5fca9ed4584d038abd23,3EzjmHreAvTMvhh2vKEaRqr4c5cHsy3wkd,16pNX78BAS1z2yjDZF2NYHznSnXNiG5NcY,5.99051923
06710ae97042a8634a6121dddfd98cfc19a2774a8f26dc9df070404de57a83bd,3DpdaomTvuxLw5jmY1U2E2YdxxzU18TWQx,162V95kE1AoxdgcWdnojbSMwGTuEp8rHh6,39.99043088
0673590663b0774ea936085e13a8a4996218689639b9fcc4a42d01f7a3425337,3Lemypwy88jf3FrB8UndX4fZ3Gn79F7G53,1DW2vgQUegyFBwJm7kVWkzXhU6ro1C8AZM,108.8203065
069179ae91fa2b30bd75424b266addbfc80d7f14f88e9723c1ad179b868e351b,34aj747tz6BPQzMGuv5iQxeEUZgyscBaYc,1379VJQdaxjLXGj1U6qCvrtteXeTubu68v,31.9394044
06b000f42fecdae0b70912a95fe861b1fc940e5540ea6524e96c558ad98393ca,326nNuVB9J3xgKLNxLRaoAW1RYD27Z1nu9,12HPBF57QPQNn72mcFc2MAqXpzG8oJJCtT,58.58886487
06b27267208cd0ca30ef6dd9cd66d059cd2ff933c3b87f343c19ca58d6ff0f8b,3DKr1mJcnisRMWTdjxc6fz1HQe9zhxdqp1,1Bnvt5yU6dDDN2naYYmuMcvGqMuaNuQaaP,5.01497868
06db46527f7549d8df53ff524c5cf5174b91604d950b533a2543c1e4b5bea602,35wjv4PHMJuPdoAeHCP1Y37MuX2fnpi8un,1BKDL9qWSE4xdbYB74LQ5LEc4aUd3YTYS,55.4587198
06f2504b97ec0cd94cd8702837fde218edaab28b6bcca2f2f5ea797bcdde6978,3Fa4iFQK3ZK2Wnz3ifjnf41GxHDD7ab4Db,1YAF4RZEGCGkVDT8gEMAKQpZdyX4efsvz,9.10341553
06f3e4c9e5c36422e0c72426cc0a56a43f86f464854a75cee1ba580ae602fcf8,3Qw11qWPLgYhhWE4Sayj9LgwKEiM91B3P2,1FHXvDcWkBC7MmChLahWRJHZ5cXpf8mPEN,12.07768563
06f47b788261ae48951c7d38d5c6187f2c2a1953cd7fad2d07fe1ec0ee0350b2,39HSASHoKmXe48kWdR6gtaa74fwrCCtTGt,1MLPQ9iWCLN6f6hHrPQDpFsQY5EVoKJb8k,6.8431365
06fcab5653ecb12c4f3bf6cd54eddc3e84baab7eaf4070ecc9f32dca30717932,351LBcoPj2NueBYuV6K64F6YYU9UvB1qPd,184HCLN5tkmzWZRjsc47eG9BsTcXVrNvbV,8.39931703
07318e873a25dbec69896319affff05cc035fb917d2664344b8440eda5e5b24d,3HSuxtXrNMduc8gLyppibyUWvLc1VWF2Rg,1NU4EVCF3nCF83j8LMs7vb5PuctnpLHaNU,234.2387712
076462eb4ca86d81d9fb889f767d262cc666cc1959403c09cd06a41ea56adbe9,36e8THZQSR54tt3DuHiBrQkeweZ1dbacra,1EJ7oFEyJjg9wgqwXt2nxSVnsKaruH2Hc8,50.00461951
077a3eb48c36f6992e4533e6a4a09e96bb9b1fec957fa8efc921ed2096db457a,33LfZmwXZ2zJNtXGfF9YooJn3w1CwbvTYm,16wVgJG3iC51C1UbCrCLp53Vy2EsvCRhWq,1343.911094
07bb1795d04010bbda22cba5c60347ac1e663c6c5ef42e0b543686a05f3d47d9,3KkSJo41hW1wqYyQNt79FpCt3g3oRjn4eu,16CksRtGBQBguwHc3iwMZWJb3fusT6GNTL,24.25193556
07be6bf2c62b259115604bf103858bbdc797d4452b19f8984d1334901b8d1e9d,31q183xvMSMQsy1RDAqct4KSBpqTJYb99W,1MXNV6tcENeCiMp296vXTywS3crxSujkrJ,26.99015961
07cd1bc83f0c8d1135e088cff39835f427f068298ab6094d0941a2e520cca4c3,3NBypJ2XELYd8agCpSBDwcjZJxSXyu1VeJ,1NKAtQA7G6Sc3iQ6wFyX66QWXv2CJQLtxV,163.6105746
07d2febf97f7ba50397979d02446fb4319e424dd1367a50637e73e9a490366ce,359MhdcfbanH6sbo6DTRv6qYKTfn2UJ5o4,174novPyAhopkFiKAA4cR5qKK1E7aqKVZY,6.86708682
07e4fee8f09fd60fb81054d688fd12c825932577f4c30c45392a75aa9b4d94e1,37tatw4Kuo93LBZTQ6Hgx8EhY7PnbVKcbd,1Ki1bTgMJ6ypa3o9gBsFq2hvQDuBt3dpA,48.34129921
07fca7857593adcafa991c76c0c5a7d8a93a6c329bb8954f2eeccb83182b5196,39dkdZvYL3DTATs7ahcEeHZo46bhRB6qpd,1JckNQ1djX9Pd8TwiSCPKMiBUKr1LAzeRs,11.91148705
0821ab47b61e6f1fb63e4a785e0e42220cda7499e2c454083a900999d69e0046,325eCyqNM5VEgzd6mYHk3Jx5vnX7NMLo1r,19G5DhHqvhngmM8XyTuaMX4SeSz2yz6Yt8,95.96679892
0870aa61388154e2b32f3c95e4ef58022ccd2a9dd11b7c7b60c4d0301972e24f,3DDNKKu7sPqnfbRATwnHk3a7LT7RLKYHfR,1NeaZUhwz2xoF7r2byHZm18oExPcZ6Bhsf,8.82651903
088a6ed902f1081a1e19019a0f38f575e942c87e28e789e726d9fae1827f1ed9,38mMiTcU4wjwSH8YFyn9RUr715MS8BpK9k,1MQieFno3LzToFerrxwH4YupgtHSPweH7T,11.28668065
09370fd4bdcbe023d5458ab96d61f7773a1f86843c6d20b317b75f443e4e69cf,3392YSG4kUfP7rx95fo7H8uPZXTixXcJXM,1NCXVnuKEuEJFRB7onFKSeCRk66skwJsx1,24.99015961
093c30dde729358921c9f6c851ef885757375bdd7c0cf7acfe9627ce4041da7f,3MbRTrh2XowNW1jFuyctoaAWS5uy69ocFb,1LTNMn66aNi2DZ4xSaEKWZAgts4Dh9Gc2g,7.98823112
096eb6c07cd4c29855f1bea7318526fefe1e50fae6da8e64423545d5fa6d916e,3LkZQtxoQDAxYZyHJSrWfEaBeYnafT2vUp,148Dh8H5DP3rpyfnDxQdVyYGGhg4Fri2Be,39.90943779
0979c698decf6140856c92aed7f0e11b0fc2e51685cf394124ebc64e9d111073,3CU4h6ZxVPqdYeBgDXVrhGGTPfQNfAuXqa,1EbqX6vyq67Wgajf8xShMu6raudYZThiGp,8.88414501
0984ec99d1fe3fd3f83951701e754c7a5f3d73922437a4e4164dbf564ec16f65,3NXmgFfhA6K8NzSgn23hFuM5HReJMFTpu7,1CRh4XGZkfDnag9G26eUcwYwxn5n1AXpPi,150.788811
09c289ae94d2fbe1102dcf4e09d965dbb06796b8004d9b736193e8f5f9f52d32,3AzaJWZQxsqFTWfcoo9c2kfJm4JxBf6zF5,1KNyv7sRCTuyW6iFTcXadVkBBTfkiKtoBg,5.9977808
09dc59da0d2b0b3b12eff7a1eec61a592d9d2aad0e8f93455640c3eca7c75e19,3ExTuxa4oGbGma3qvUfvjHFbj9TVouai9A,14A4tBrF3EoAN5ZH3Bu3ZEHN1D1sQNS8Uo,75.18042813
09e8758296db86dfedc1b0fe4bc4f03bb8f14c2c70ca03e36c6cb03a4a76f1aa,3Nk5KfpP9jMCZVpSWGBNqhJsLcYihnvahy,1263CRwhYA4Zr3cWcGhpgrZ7NxBXtJckYH,3.57604312
09f16615cc74e75b5f236c0eb97373b51684a2b5460eccfe83bf669bca732230,3CXvXxuz3VF5CQgPDb4ZGzNhAahbmseu6u,1HM4ZTVKgQWAMsjY7EpAbaDu1xkvvMJb2k,4.04691008
0a4b58b0b62f42a5b2273d5404233e3596d411db8354644f2f026acf2419d97e,34KKpWyAx8aLwTRN7rw4MyBTf9Mg8j7hKA,1DKKvaJkeb6f1cuoR49a1YUxbH89ZGo7mT,166.600531
0a50c746e01b920a1a4f2096f7860747a2080037bbb08f9101f1e92c93791d31,3HSp9yfP5iMCAbHF956MBZPiprpSNDsv3P,1BWT3ozrAmuCfFdPCEphHs6b9GWdxVur6M,5.13977868
0a8778bc7e5e84ad3d1c93a2682670f4b8d84a13f1ce130c629f1148a5cdfe2d,334x2eeGZ2AmKAEgY845awFqk5MBnCprHb,1DyQeTo1aeeyo6nuB74eDCvRyj6dUJjNRY,14.62303091
0a96290196dc77be3364b8fb7605425ec3ee10596312c661ae5e93520c43a2c2,3HMEpvuTxAHT9jh1Lgx35VYPYJq4sRGZ4j,13C2uKWL15TRuTZjhtVYSktik1MpzpBCBZ,5.29251566
0a997d9e207c06084ab8d764c9ad75288584fd7cf8d4540f145547386185670b,3ALMLCBCYuqxJNUx1PeCiQJPuWEknEXK1j,1NRP7kwVw1SEwNFLT53vVduB592WCFy7TD,951.8572818
0a9a554e47b03aa851cb92022b54414f307446d9e3df87f3151b005ed7b205b1,3QyVZgwD2Nf2QgohGRoS1oiZt9KpvTUT2m,1EskpcNquDH36eByMUsNxNkpFtH8coAAQT,248.0336599
0afb3197abb998258c7a17cc6dbc62caa1a7c2a591c86eb70e72627461aec29c,3NRJ4PD88s4A66A8q6HSSuhdzj3YVsJSiT,1CSfGTPtXMpCfaC4sjuo3zHwy6aKr92fcC,52.04487652
0b08424ef462d869880193a6a22c4749921d8af5be0e948a7cbc943146937112,3GxbspFSTyg4cRHmZmShiWYH1bif6zTzRy,13EmFHZZwLgiVCtyJaUvDd72RYDmNqUrxS,46.35562762
0b0912ad287fb61c0705ce6a96a965b65f6c1f6457a7e42ecd268fcc85e754b3,3Qzse11dgL7AnutSMDUMqPbMfYwwLfCqAZ,14szpe1p5VDCkSrKf182V1nHZsah2EDVaW,44.03323096
0b3bd53e38a50665721b1346d568527613a621e2e2fe294dae515e75ac87edec,3KWjrS1qcmsDxsoxPJFhU4FTxth5wwUosP,1PoY5TF3FYRif22p8LbxfQpKBs3LLuNgAp,30.27048931
0b3f9c4429747b5129f80eed2676c7fdc5659f923e96f9bae3af50c84e525225,3J1DcDfZZ1smr1g4YapUD8QwXbs9N7AHtn,18vupVH3AxenG62F9zngbDrG3v2FpXFTLo,5.49155695
0b53777751e79770ba478ca2aaf3b10a215d2c5c5e408d6b05c8e83fc5c735e6,3F2QZARBT4o51D7gBZCSXw2GoGe9CPb3RP,18HjedHg875y7fmKv4DE3x2UfhofGmL4jj,11.49899995
0b6eaabc841a3b9256da7c0f63a4f2f3d0ba43b4300c0232fc59e228c5c2f00b,3GHi1ea7DnxVgU4xoBdU5rSM2dx4ztJdFY,1BUzVDqvBM5XitTbxenUGsf6P5Fw8798cE,7.48427107
0ba074a0365a08caacf60cc16b596e281397efc7d4a0fdb5a46b1eb19934dbc2,34Pt4C1YPpMekvCaFmpHjbng3x9Lozwyjj,1EipS2KrHy35qi97Hc8xoWVSnBKjyjjpGr,13.02717752
0ba3ed1aabada8a8f846c66b7ad7144c900e0516ddb004a391964d3de0dfa4f9,3A2tj2xvNdKAPcyDuq7cJFX53zYrdirH81,1MY7wrcKpkGAALg7WGbLnvDR3DjJnPKJ8W,79.99042813
0bc5001d9d7d20004f7a45ffb9170bdc4c3846e0325a5ea5f17bea09282e4c4e,34zxosAYBrtCYFEHoMvxwoDR7z6H1g3SVe,1pfMkN58NunvVFruawbjPERiJmArNneHV,52.62036951
0bcca5a8fc5166d2d5538b28d0bc3b4376bb7d3a9195f0273bea398047d67de3,36qX2JiqToLaSvvJaJxUssZSeVn2y6MSCP,1BF3NLvw3VbRp7U56hzrQXGz9oG8yLRpbb,5.71552342
0bde2b8c062eca446926cf1dbed5eddd03bd9576a50f33c257fff656d23b028d,36UgyGTszrStqbs3KdKXzExeMaVtTkJjR5,1AaxJTo2srDJNDuESq6oE52xeeAWQBCzYD,28.77237495
0be720b0bb5e833e5e10f9959c491ad1f64740da353f6c5e24660588593c24d0,3Jjvf255i6nWrjzMGfVpUeZmo9nPZrPHUb,1CHXYSJYaVccvRVAa4wE4bFkHqdRL5gZUx,399.539288
0bff187236af7dc341c7eb859b7886f5820223421d724e1502e65d56ff7e324c,34YDtCPH2UT7cjkYpStBTLDwnMZG6gpiYf,1z36qDMBppj6wPCkuk2qtbqd9EhumCkHS,14.96705838
0c0f2c46d93f762337bc28dcdf066539274b0d7e4d8a0c61a43ac86f5394cf12,3QF7nvkXVGEpyogpRNXz9EqP2qX5kNvQ6b,1G54aPDxJ5uATNZQmerUZgAbt2qUpTrYBv,299.9904893
0c289f9a70e713017d193b57be89f2e6fe4b59f11e6e595120eb0f99c4f4072e,36qfGdn1RXErE2efbEomwnfGHWU6A1teyE,1L7y37whkLSXWStashpydjAXLygbJ1AXU,8.3607594
0c31ff905a3da861b9fe87dd0a124ceac28dfe89e93ee56d7913a1d4f5ae8425,3EckSgRDGmxoXFsStATPTWaZTVKKZEx2GS,17fQz1jVWSYYnBowwnT4K2nuoc92Kc9g2e,249.9904893
0c6dca10501530f2242ba6c0074efabca8d1854eacd509757778453d2e60c503,37ki2VFc7xfMytUAsufM8BCZTyQtiyDJSx,13pqdhgRASKwjWSYVPTzt6W5CfV47uCWQg,11.51190356
0c7d037681e5ce0bc3fcde8cf791b26a3fbdfb1b5fcebfdc0a76c75eab18bd4b,3CgUV3h32faqcDRSH5n4hQMvRJSGK5PTSJ,1cp1vpuEtMuvwcSQiDA3uuv89ATXdume4,5.16996784
0c8a4bd37bd099f67946c013e2bb2afe9f7e2e97530d1f10fb9087929e96b4f0,3BA7oGX7nTHCEPazdYKnnNF4Gn1ja6DLbQ,17muBjukbPXCwr9eyJyimz5SYhs4qvy6L8,6.87707165
0cca15e3e1067b6af533149dd5bf1f9eef916df2594e2221a376fc3834067587,39UiX6XiWQBGsjuwXgfkrin4uSW7C1De6a,1GBsfuz2rfd5BCXVEBCMQALYcKP6MrgH5z,30.15683525
0cd7414cdca87230c7f26060ca270f6752ad227d1995d63870951f2a588d9a8a,33hcHz98n377KjFQEa6CYwxEBdeRpsYVwj,1CYLGSPxpskeHEaqqwmsWkWyotjse3r9Ug,5.99077866
0ce23713550f984b78206a08cd8a398bd3f4cde630a785cddf3a827d8d060f81,3GXVySizeFPt4KLWsv1hRAe3tsESm722Sj,1LzwvfzZ1CozdAqkXZKfRxaAX4hVx8Gd1b,62.44296872
0cf4e47a30e2803834aecd64551b8ace76bf2a9e6f644fa3d44097ccca5b4754,35Wvuwnk168Y2cJ8fYMpDcpJJEBD1yNbwa,1CLDSh1qeXbVCMNN7A3wqk7TdoFJsFc6MJ,31.99159674
0d073123854425c14933b80ed26446f3d0296743994b1212b7c4801763560b86,36a2LFUaqgzQF4PRxqFAh5nBxRQSAJny7X,1NysMuDppRGeJY6RbNJTiR78Gx7ADGCNvQ,4.62925385
0d25284e8f7075ccd1be22777391203967dc1fd604373d0b190c57d65c979109,3A68ZiMehj31uyUP4N7Lieyq87dmdpa2Hr,1G2tocDaj9MZtRvmeDYRxdPocyoWeDwXb2,18.84117496
0d7abd2154bc706a8f970053705fe7bf46978e1df7302ef83cd00dd960107e01,3AzgCnZNQNiiKVhrPCrjE2AqsGRag7Xmox,114PDfPopBBrNL8F8utnfze5WuovQPy5D7,10.44828588
0d7bda8b1930ae476d9b94b5d0ddfdf98164c5641ec67a099a61d2a7a25b365d,37EX7NiM17GBsRpdbfPSNBCoXdB3Ss75nL,1NoKfn1HKSLoVSCiqtZiMCgUVZ5r8cXdrd,10.15842804
0d8443088ecf6251bb91df705fcaf3a2f8042c8f8249655c639935eb37b0c3bf,3Ct28z4xhyuBCXhDAqG16d1nJHuiH2kHm8,1KctN3WEELL2iJETBFZTj6w3rpesA8UKr1,14.12886973
0dc5fe4aaa2bd42fc0745dd26bae4adec9503cd28ea743c65a0544f8b1583b6c,34ZCBZMjRddhGp4w7twsWvYcxDAeXUTVh6,1HZLVrvHVnJSUUJhTSq6iaKpfDYfCitKLR,21.24474593
0ddaf3ae0bd0a34f4b44d63b4fab97e1a87121af8952934752a5c89f77cb9e15,3AtRqDzmpEvhvJaAmC4fVpnhtB6q4Ymday,16nNWSLHek6vbr7wvwgB1DHjbDuEfsWcYQ,9.29794919
0dfd3c51ac7bc2d87e74139241d6a60a124f40acdc5d3b3c3b7612d966a92259,3GyP7tUScqKS1s5K3Tg6eAJFEbV5LtZW5J,1HuZeabqcpMhSsSf7rixvW2if4pQGz4yH2,9.99035961
